Type,Name,Page,Address,Default,Description
PORT,set_order_bgfirst_en,0x01,0x01,0x00,
PORT,set_dbv_h,0x01,0x02,0x02,
PORT,set_dbv_l,0x01,0x03,0x00,
PORT,set_freq_sel,0x01,0x04,0x00,
REG,R_ctb_lctb_en ,0x05,0x01,0x01,LCTC On/ Off ctrl
REG,R_ctb_actb_en          ,0x05,0x02,0x00,ACTC On/ Off ctrl
REG,R_ctb_color_mode       ,0x05,0x03,0x00,
REG,R_ctb_dbv_gain_en      ,0x05,0x04,0x00,
REG,R_ctb_frq_gain_en      ,0x05,0x05,0x00,
REG,R_ctb_lctb_off_mask0   ,0x05,0x06,0x00,
REG,R_ctb_lctb_off_mask1   ,0x05,0x07,0x00,
REG,R_ctb_th_gray          ,0x05,0x08,0x20,
REG,R_ctb_th_delta_line_avg,0x05,0x09,0x30,
REG,R_ctb_th_sat           ,0x05,0x0A,0xFF,
REG,R_ctb_lut_end_itp      ,0x05,0x0B,0x01,
REG,R_ctb_delt_pxlv_mode   ,0x05,0x0C,0x00,
REG,R_ctb_delt_linev_mode  ,0x05,0x0D,0x01,
REG,R_ctb_lctb_interval_no ,0x05,0x0E,0x04,
REG,R_ctb_diff_gray        ,0x05,0x0F,0x0A,
REG,R_ctb_pxl_vol_coefi_r  ,0x05,0x10,0x80,
REG,R_ctb_pxl_vol_coefi_g  ,0x05,0x11,0x80,
REG,R_ctb_pxl_vol_coefi_b  ,0x05,0x12,0x80,
REG,R_ctb_line_vol_coefi_r ,0x05,0x13,0x80,
REG,R_ctb_line_vol_coefi_g0,0x05,0x14,0x80,
REG,R_ctb_line_vol_coefi_b ,0x05,0x15,0x80,
REG,R_ctb_line_vol_coefi_g1,0x05,0x16,0x80,
REG,R_ctb_gamma_gray_idx_x1,0x05,0x17,0x10,
REG,R_ctb_gamma_gray_idx_x2,0x05,0x18,0x20,
REG,R_ctb_gamma_gray_idx_x3,0x05,0x19,0x40,
REG,R_ctb_gamma_gray_idx_x4,0x05,0x1A,0x60,
REG,R_ctb_gamma_gray_idx_x5,0x05,0x1B,0x80,
REG,R_ctb_gamma_gray_idx_x6,0x05,0x1C,0xA0,
REG,R_ctb_gamma_gray_idx_x7,0x05,0x1D,0xE0,
REG,R_ctb_nor_vol_r_y1,0x05,0x1E,0xE8,
REG,R_ctb_nor_vol_r_y2,0x05,0x1F,0xD8,
REG,R_ctb_nor_vol_r_y3,0x05,0x20,0xD0,
REG,R_ctb_nor_vol_r_y4,0x05,0x21,0xB7,
REG,R_ctb_nor_vol_r_y5,0x05,0x22,0xB0,
REG,R_ctb_nor_vol_r_y6,0x05,0x23,0xA9,
REG,R_ctb_nor_vol_r_y7,0x05,0x24,0x9D,
REG,R_ctb_nor_vol_r_y8,0x05,0x25,0x97,
REG,R_ctb_nor_vol_g_y1,0x05,0x26,0xE8,
REG,R_ctb_nor_vol_g_y2,0x05,0x27,0xD8,
REG,R_ctb_nor_vol_g_y3,0x05,0x28,0xD0,
REG,R_ctb_nor_vol_g_y4,0x05,0x29,0xB7,
REG,R_ctb_nor_vol_g_y5,0x05,0x2A,0xB0,
REG,R_ctb_nor_vol_g_y6,0x05,0x2B,0xA9,
REG,R_ctb_nor_vol_g_y7,0x05,0x2C,0x9D,
REG,R_ctb_nor_vol_g_y8,0x05,0x2D,0x97,
REG,R_ctb_nor_vol_b_y1,0x05,0x2E,0xE8,
